Body Type,Model Year,Mileage
Hatchback,2017,9869
Sedan,2019,11111
Hatchback,2019,17500
Hatchback,2019,9600
Sedan,2010,120000
Sedan,2017,22000
Hatchback,2017,31000
Hatchback,2012,101000
SUV,1998,110000
Sedan,2017,60000
Crossover,2014,91000
Sedan,2017,75000
Hatchback,2016,20000
Hatchback,2012,83000
Sedan,2018,51240
Hatchback,2017,100000
Sedan,2004,150000
SUV,2018,35000
Hatchback,2016,45000
Sedan,2016,58000
Hatchback,2001,135000
Hatchback,2018,55000
Hatchback,2012,74000
Hatchback,2000,90000
Sedan,2012,95000
Sedan,2016,96000
Sedan,2011,125000
Sedan,2018,30000
Sedan,2019,24000
Sedan,2010,176000
Hatchback,2016,65000
Hatchback,2013,85000
Sedan,2011,74000
Sedan,2018,51946
Sedan,2018,31000
Sedan,2012,110392
Sedan,2015,90000
Hatchback,2017,86000
Hatchback,2014,77000
Hatchback,2016,63000
MPV,2015,120000
Sedan,2006,180000
Sedan,2000,165000
Sedan,2010,108000
Hatchback,2016,82000
Sedan,2014,150500
Sedan,2019,20000
Hatchback,2005,85000
Sedan,2016,95000
Sedan,2005,143000
Sedan,2014,78000
Sedan,2005,95000
Hatchback,2010,84000
Sedan,2004,149000
Hatchback,2014,55000
Hatchback,2014,68000
Sedan,2014,57000
SUV,2012,55000
Hatchback,2017,35000
Hatchback,2018,28000
Van,2018,41593
Sedan,2016,57000
Sedan,2017,46000
Sedan,2013,85000
Sedan,2018,47000
Hatchback,2015,78000
Sedan,2014,65000
Sedan,2006,83000
Sedan,2016,15205
Hatchback,2008,123000
Hatchback,2018,28575
Hatchback,2014,80000
Sedan,2010,80000
Hatchback,2006,123456
Sedan,2014,90520
Sedan,1993,500000
Sedan,2016,52000
Double Cabin,2010,215000
Sedan,2006,105000
Sedan,2012,100000
Hatchback,2015,680000
Sedan,2017,5900
Sedan,2019,24000
Hatchback,2012,65000
Sedan,2014,77000
Mini Van,2015,35000
SUV,2012,75000
Sedan,2008,90000
Sedan,2015,65000
MPV,2018,37000
Sedan,2019,4000
Hatchback,2014,129000
Crossover,2016,51000
Sedan,2018,11012
Sedan,2015,55000
Sedan,2006,156000
Mini Van,2010,130394
Van,2016,25000
Hatchback,2013,80000
Hatchback,2018,30000
Hatchback,2014,32000
Hatchback,2018,50000
Station Wagon,2015,200000
Hatchback,2016,41000
Sedan,2006,107602
SUV,1994,117000
Sedan,2018,21000
Sedan,2001,100000
Hatchback,2015,112000
Sedan,2010,55000
Sedan,2017,45000
Sedan,2019,8600
Sedan,2007,76000
Crossover,2016,20000
Hatchback,2019,6800
Sedan,2014,29000
Hatchback,2016,75000
SUV,2016,43200
SUV,2016,12786
Sedan,2015,45000
Sedan,2010,125000
Sedan,2016,79736
Hatchback,2014,65000
MPV,2019,31456
Sedan,2016,27000
Sedan,2007,170000
Hatchback,2019,21700
Sedan,2017,38000
Hatchback,2012,130000
Hatchback,2005,76800
Sedan,1998,950000
SUV,2011,70000
Sedan,2019,7700
Hatchback,2017,31000
Sedan,2010,94000
Hatchback,2015,27000
Hatchback,2009,68000
Sedan,2010,91000
SUV,2012,90000
Sedan,2018,18000
Crossover,2013,110000
Sedan,2017,55000
Hatchback,2013,45000
Hatchback,2006,102876
Hatchback,2018,2060
Hatchback,2007,177000
Sedan,2015,45000
Hatchback,2016,33000
Hatchback,2013,70000
Hatchback,2019,16000
SUV,2006,71000
Sedan,2018,6500
Sedan,2012,71000
Hatchback,2019,5000
Hatchback,2019,17000
Sedan,2008,579000
SUV,2015,29197
Sedan,2012,92000
Mini Van,2011,50000
Hatchback,2015,40000
Hatchback,2007,92000
Sedan,2017,41000
Hatchback,2004,166511
Hatchback,2018,8200
Hatchback,2017,89990
Hatchback,2015,79900
Sedan,2017,46000
Hatchback,2011,138000
Sedan,2003,100000
Hatchback,2008,120000
Sedan,2017,38000
Hatchback,2006,116000
Hatchback,2019,18000
Sedan,2006,200000
Hatchback,2014,86000
Sedan,2013,80500
Sedan,2008,190000
Sedan,2000,120000
Station Wagon,2015,94000
Hatchback,2007,156000
Sedan,2006,135000
Sedan,2016,42000
Sedan,2019,4100
Hatchback,2017,66198
Hatchback,2016,16667
Hatchback,2019,4000
Hatchback,2009,152000
Hatchback,2016,53122
Sedan,2012,104000
Sedan,2017,32000
Hatchback,2016,16084
Sedan,2015,160680
Van,2006,89000
Hatchback,2009,90000
Hatchback,2013,60000
Hatchback,2013,90000
Sedan,2014,70000
Sedan,2010,210000
Mini Van,2008,130000
Sedan,1990,170000
Sedan,2000,163000
Hatchback,1996,100000
Sedan,2014,87000
Hatchback,2004,180000
Hatchback,2002,110000
Hatchback,2011,103335
Sedan,2013,60000
Hatchback,2015,45000
Mini Van,2014,46000
Hatchback,2016,75546
Hatchback,2018,75000
Hatchback,2011,114000
Hatchback,2007,187632
Hatchback,2016,20000
Sedan,2010,115000
Sedan,2016,84207
Sedan,2010,66000
Hatchback,2016,92000
Crossover,2017,29635
Sedan,1999,93000
Hatchback,2013,99000
Sedan,2014,98000
Crossover,2017,16000
Sedan,2017,70000
Sedan,2017,45000
Hatchback,2016,100000
Sedan,1993,160000
Sedan,2016,82000
Double Cabin,2014,95000
Sedan,2007,150000
Hatchback,2019,6720
Sedan,2008,80000
SUV,2011,73500
Hatchback,2013,89000
Sedan,1991,200000
Sedan,1998,100000
Hatchback,2017,35000
Hatchback,2017,51000
Hatchback,2009,90000
Sedan,1999,150000
Mini Van,2015,140000
Sedan,2008,85000
Sedan,2009,167987
MPV,2015,130000
Sedan,2018,53231
Double Cabin,2012,115000
Sedan,2014,70000
Hatchback,2012,123448
SUV,2002,76000
Sedan,2017,74000
Sedan,2019,20617
Sedan,2018,5675
Sedan,2008,120000
Hatchback,2016,110000
Station Wagon,2006,240000
Hatchback,2005,85000
Sedan,2013,55000
Hatchback,2018,33500
Sedan,2002,100000
Hatchback,2018,44000
SUV,2013,30000
Sedan,2004,177000
Hatchback,1998,107000
Sedan,2010,138000
Sedan,2014,89000
Hatchback,2018,30000
Hatchback,2013,106000
Sedan,2018,26000
Sedan,2009,128000
Sedan,2016,134500
Sedan,2006,150000
Hatchback,2018,39500
Hatchback,2006,95000
Hatchback,2012,70000
Hatchback,2013,80000
Hatchback,2018,14797
Sedan,2013,114000
MPV,2016,14000
Sedan,2013,55000
Sedan,2015,125000
Micro Van,2015,124000
Sedan,1993,120000
Van,2015,118000
Hatchback,2016,60600
Hatchback,2015,77200
Sedan,2016,63700
Sedan,2007,126458
Crossover,2015,73734
Sedan,2017,52492
Sedan,2016,46353
Sedan,2018,24000
Sedan,2002,208100
Sedan,2010,138000
Hatchback,2017,30000
Sedan,2011,85000
Sedan,2018,39000
Sedan,2014,85320
Sedan,2006,300000
Hatchback,2007,100000
Sedan,2004,150000
Van,2017,68000
Sedan,2018,18000
Sedan,2007,170000
Hatchback,2017,100000
Hatchback,2008,54000
SUV,2016,55000
Crossover,2015,57000
Sedan,2004,127862
Hatchback,2007,100000
Sedan,2017,36000
Hatchback,2008,99000
Sedan,2019,12000
SUV,2001,117000
Sedan,2016,70000
Crossover,2016,19000
Mini Van,2012,206250
Hatchback,2012,85000
Sedan,2017,20000
Sedan,2018,18877
Sedan,2013,130000
Hatchback,2013,91037
Van,2018,27500
Hatchback,2016,32369
Sedan,2006,146000
Sedan,2010,117000
Sedan,2015,76700
Sedan,2004,200000
Hatchback,2005,65890
Hatchback,2018,23000
Hatchback,2008,140000
Hatchback,2010,56000
MPV,2019,5000
Sedan,2016,63156
Sedan,2016,52000
SUV,1997,124000
SUV,1993,150000
Sedan,2011,114000
Sedan,2015,98000
Hatchback,2008,56000
Single Cabin,2012,86000
Hatchback,2016,81000
Sedan,2015,51000
Sedan,2003,123456
Hatchback,2017,17000
Hatchback,2017,56000
Sedan,2010,94000
Sedan,2004,150000
Sedan,2013,90000
Sedan,2015,64000
Sedan,2019,10000
Hatchback,2016,74000
Sedan,2018,35000
MPV,2019,24000
Hatchback,2014,95000
Hatchback,2016,65604
Station Wagon,2017,63503
Sedan,2001,222000
Sedan,2013,140000
Hatchback,2015,49700
Sedan,2006,95500
Sedan,2011,100000
Sedan,2009,985600
Sedan,2011,150000
Sedan,2009,75000
Sedan,2014,170000
Sedan,2017,35000
Hatchback,2018,15000
Hatchback,2016,68000
Sedan,2017,30000
Hatchback,2016,23000
Sedan,2018,4000
Hatchback,2016,29191
Hatchback,2006,78000
Station Wagon,2017,87442
Hatchback,2016,8666
Crossover,2015,40930
Hatchback,2006,115000
Sedan,2016,77443
Sedan,2017,50000
Hatchback,2007,95000
Sedan,2016,118536
Hatchback,2013,69000
Sedan,2005,198300
Hatchback,2014,79000
Sedan,2007,98500
Hatchback,2016,35600
Hatchback,2012,45923
Sedan,2013,47000
Sedan,2016,52600
Sedan,2014,55000
Sedan,2016,88000
Sedan,2007,180000
Sedan,2016,50000
High Roof,2017,97000
Hatchback,1992,123456
Hatchback,2015,80000
Hatchback,2006,98000
Convertible,2014,25000
Sedan,1998,200000
Double Cabin,2018,11800
Hatchback,2016,111589
Hatchback,2008,65000
Double Cabin,2019,5000
SUV,2013,72000
Sedan,2017,40500
Hatchback,2017,40000
Hatchback,2017,35500
Station Wagon,2015,40000
Sedan,2017,33000
SUV,2013,83395
Hatchback,2018,18000
MPV,2019,9049
Sedan,2011,135000
Sedan,2007,57000
Hatchback,2004,126000
Sedan,2006,126000
Sedan,2001,170000
Van,2015,60270
Sedan,2019,7800
Sedan,2004,123456
Hatchback,2010,98600
Hatchback,2003,100000
Hatchback,2008,110000
SUV,2012,150000
Hatchback,2018,14000
High Roof,2009,350000
Sedan,2012,67000
Hatchback,2019,26000
Sedan,2011,108000
Hatchback,2014,73000
SUV,2017,32000
Crossover,2016,86000
Hatchback,2017,24538
SUV,2012,80246
Sedan,2003,170000
Sedan,2018,13500
Sedan,2015,90000
Hatchback,2005,410000
Van,2015,74000
Hatchback,2001,123456
Hatchback,2010,74000
Sedan,2016,75000
Sedan,2006,123456
Sedan,2012,111250
SUV,2003,155000
Sedan,2011,170000
Hatchback,2016,50000
Hatchback,2005,65000
Sedan,2017,50000
Hatchback,2017,63232
Sedan,2007,44000
Hatchback,2015,63000
Sedan,2017,4700
Hatchback,2017,34139
Sedan,2016,37000
Sedan,2019,18000
SUV,2013,83667
SUV,2005,100714
Sedan,2015,56000
Sedan,2017,26000
Hatchback,2017,34000
SUV,2017,36500
Sedan,1998,245333
Sedan,2016,98600
Sedan,2008,105000
Sedan,2004,139000
Sedan,2002,106500
Hatchback,2019,10000
Sedan,2018,21000
SUV,1992,150000
Hatchback,2015,135000
Crossover,2015,70000
Sedan,2016,120000
Sedan,2017,85000
Hatchback,2017,70952
Hatchback,2013,53000
Sedan,2011,118000
Hatchback,2018,6200
Hatchback,2017,45000
Sedan,2018,25000
Hatchback,2018,31500
Hatchback,2017,63888
Sedan,2014,71000
Sedan,2018,11447
Sedan,2016,67000
Hatchback,2007,68000
Sedan,2012,160000
Sedan,2016,57000
Hatchback,2014,92000
Sedan,2005,123456
Sedan,2016,101700
Sedan,2018,8300
Station Wagon,2006,82000
Hatchback,2008,99500
Sedan,2012,93000
Hatchback,2016,51500
SUV,2015,54000
Hatchback,2016,49000
Sedan,2002,100000
Hatchback,2012,70532
Sedan,2014,105000
Sedan,2017,21000
SUV,1997,100000
Hatchback,2015,35000
Sedan,2005,101753
Hatchback,2017,43282
Hatchback,2016,31070
Sedan,2017,37682
Hatchback,2015,60822
Hatchback,2016,98378
Hatchback,2015,65852
Hatchback,2011,112396
Hatchback,2017,61980
Hatchback,2008,150000
Sedan,2019,13000
Hatchback,2011,99750
Crossover,2014,60800
SUV,2013,86196
Hatchback,2019,41000
Hatchback,2010,77000
Sedan,2006,186000
Sedan,2014,105000
Sedan,2001,179000
Sedan,2015,98500
Sedan,2017,32000
Hatchback,2015,33500
Sedan,2010,145000
Hatchback,2006,111773
Hatchback,2016,48732
Van,2018,10000
Hatchback,2004,188000
Sedan,2018,23000
Hatchback,2015,118000
Sedan,2017,80000
Hatchback,2007,142536
Sedan,2003,85000
Sedan,2010,100000
MPV,2019,16600
Hatchback,2017,36000
Hatchback,2017,43100
Crossover,2014,50214
Sedan,2018,31000
Crossover,2015,55000
Sedan,1998,250000
Hatchback,2016,78585
Hatchback,2016,61434
Hatchback,2017,43800
Hatchback,2016,73272
Hatchback,2016,70032
Hatchback,2016,56036
Hatchback,2017,37730
Hatchback,2015,48000
Sedan,2017,67000
Sedan,2004,120000
Sedan,2008,162000
Hatchback,2019,11000
Sedan,1996,150000
Sedan,2010,40000
Sedan,2014,45000
Sedan,2019,18370
Sedan,2011,96000
Sedan,2010,92000
Hatchback,2009,134400
Van,2019,38000
Sedan,2016,83000
Sedan,2013,85550
Hatchback,2008,100000
Sedan,2004,123456
Sedan,2016,109000
Sedan,2007,85000
Hatchback,2017,49974
Sedan,2001,150000
Hatchback,2013,54390
Sedan,2018,39900
SUV,2011,68000
Hatchback,2016,84910
SUV,2007,112000
Hatchback,2011,99063
Sedan,2018,12015
Sedan,2015,75392
Sedan,2010,119430
Sedan,2016,155974
Hatchback,2017,19085
Sedan,2012,80000
Hatchback,1991,150000
Sedan,2015,83000
Hatchback,2013,72000
Hatchback,2008,80000
Station Wagon,2019,85000
Sedan,2005,223000
Hatchback,1999,410000
Sedan,2008,332000
Sedan,2006,123456
Hatchback,2009,65000
Hatchback,1999,95000
Sedan,2014,140000
Sedan,2014,69000
Hatchback,2013,40921
Sedan,2014,55000
Crossover,2015,60000
Hatchback,2004,117605
Sedan,2016,46000
Hatchback,2016,50500
Sedan,2015,1700
Sedan,2015,75000
Sedan,2019,19500
MPV,2018,42000
Sedan,2006,105000
Hatchback,2015,63000
Crossover,2016,11000
Sedan,2003,123000
Sedan,2015,76500
Hatchback,2010,157000
Hatchback,2017,82055
Sedan,2011,135000
Sedan,2013,35428
Hatchback,2019,7096
Sedan,2006,127000
Sedan,2004,83000
Hatchback,2008,98500
Sedan,2012,95000
Sedan,2007,135000
Sedan,1998,200000
Hatchback,2008,90000
Hatchback,2006,88000
Sedan,2005,258000
Hatchback,2012,78000
Sedan,2016,95000
Van,2017,53000
SUV,1990,255800
Sedan,2010,105000
Hatchback,2012,73000
Sedan,2001,135000
Sedan,2015,82000
Hatchback,1998,150000
Sedan,2014,100000
Sedan,2014,166000
Hatchback,2013,77000
Sedan,2015,61000
Hatchback,2017,26000
Hatchback,2015,39000
Sedan,2014,100000
Sedan,2005,130000
Crossover,2015,48500
Sedan,2018,21000
Sedan,2017,36000
Sedan,2016,74000
Micro Van,2014,70000
Sedan,2010,55000
Hatchback,2018,62886
Micro Van,2014,56000
Sedan,2016,77375
Hatchback,2016,78751
Hatchback,2019,31000
SUV,2014,50000
Hatchback,2017,19000
Hatchback,2005,129785
Sedan,2017,47000
Hatchback,2015,24622
Hatchback,1998,950000
Hatchback,2014,77000
Sedan,2013,83000
Hatchback,2004,221000
Sedan,2007,130000
Sedan,2008,175000
Sedan,2016,104500
Hatchback,2011,105000
Hatchback,2016,53000
Sedan,2006,139000
Sedan,2013,50000
SUV,1998,135000
Sedan,2014,65000
Sedan,2016,43000
Hatchback,2016,42000
Hatchback,2013,96000
Hatchback,2017,52000
Sedan,2015,84000
Sedan,2013,65000
Crossover,2015,51000
Hatchback,2017,48000
Hatchback,2012,75000
Hatchback,2018,18605
SUV,2013,77571
Hatchback,2015,89091
Hatchback,2006,100000
Hatchback,2015,48000
Sedan,1994,150000
Hatchback,2009,46000
Hatchback,2012,76700
Hatchback,2007,98000
Hatchback,2016,45000
Sedan,2003,228000
Hatchback,2013,78000
Hatchback,2016,56000
Sedan,2003,94000
Hatchback,2018,20000
Sedan,2013,78000
Double Cabin,2019,9000
Sedan,2019,19000
Hatchback,2006,134000
Hatchback,2015,58000
Hatchback,2007,100000
Mini Van,2014,100000
Hatchback,2017,55235
Sedan,2018,34936
Hatchback,2015,80000
Coupe,2006,131608
Sedan,2008,100000
Sedan,2018,31746
MPV,2015,102000
SUV,2013,75000
Hatchback,2017,45000
Hatchback,2018,23900
Hatchback,2016,91000
Sedan,2005,121500
Sedan,2007,110000
Hatchback,2004,156000
Sedan,2010,170000
Hatchback,2017,4192
Sedan,2002,297000
Hatchback,2005,100000
Sedan,2018,21000
Sedan,2016,19000
Sedan,2005,110000
Sedan,1995,146000
Hatchback,2014,76000
Sedan,2007,125000
Hatchback,2007,169550
Hatchback,2007,150000
SUV,2012,67000
Crossover,2014,115000
Hatchback,2007,500000
Sedan,2018,16200
Hatchback,2015,64000
Hatchback,2017,69514
Mini Van,2013,90000
Hatchback,2016,54502
Hatchback,2017,53650
Hatchback,2016,27000
MPV,2017,24000
Micro Van,2012,154558
Sedan,2017,34276
Sedan,2017,28351
Hatchback,2012,80000
Hatchback,2007,178000
Sedan,2006,186000
Mini Van,2018,36500
Sedan,2005,159000
Sedan,2015,67000
Sedan,2005,300000
Hatchback,2011,115000
Hatchback,2004,304735
Hatchback,2014,63000
Hatchback,2011,174806
Sedan,2017,59000
Sedan,2018,25000
Hatchback,2008,70000
Sedan,2018,24000
Hatchback,2018,48000
Sedan,2005,193000
Pick Up,2017,47000
Sedan,2018,36000
Hatchback,1998,100000
Sedan,2016,150000
Sedan,2012,145000
Hatchback,2017,18000
Hatchback,2013,67701
Hatchback,2017,42630
Sedan,2018,35000
Hatchback,2018,30000
Hatchback,2017,18000
Sedan,2010,132000
Hatchback,2019,29000
Hatchback,2008,125000
Hatchback,2012,80000
Sedan,2016,50000
Sedan,2005,200000
Sedan,2004,278000
Hatchback,2011,105000
Sedan,2011,95000
Double Cabin,2017,65000
Hatchback,2000,150000
Hatchback,2004,100000
Hatchback,2018,33000
Hatchback,2012,60000
Sedan,2018,15500
Hatchback,2006,60000
Sedan,2017,101000
Sedan,2003,123456
Sedan,2012,95000
Sedan,2012,73000
Hatchback,2014,68000
Station Wagon,2016,51000
Sedan,2010,71000
Hatchback,2016,48000
Van,2018,76443
Sedan,2011,87000
Hatchback,2019,200
Sedan,2018,47000
Hatchback,2019,35000
Sedan,2012,104000
Micro Van,2014,88000
Sedan,2010,80000
Sedan,2013,55000
Double Cabin,2015,85000
Hatchback,2017,40000
Sedan,2011,136000
Sedan,2005,93000
SUV,2005,95000
Sedan,2017,51000
Hatchback,2016,19500
Hatchback,2007,100000
Hatchback,2019,14300
Sedan,2010,85000
SUV,2004,236000
Sedan,2019,39200
Sedan,2010,148000
Hatchback,2013,102000
Van,2012,127000
Van,2013,155000
Sedan,2006,126000
Micro Van,2015,117000
Sedan,2015,85000
Hatchback,2013,109000
Hatchback,2013,70000
Crossover,2013,70000
Hatchback,2015,61000
Sedan,2007,112000
Van,2013,29000
Hatchback,2012,112000
Hatchback,2015,74000
Sedan,2004,123456
Sedan,2016,58200
Sedan,2015,33679
Sedan,2019,15200
Hatchback,2018,20000
Sedan,2010,100000
Hatchback,2015,69500
Sedan,2011,130000
Sedan,2004,250000
Sedan,2004,125000
Hatchback,2016,30000
Sedan,2017,32000
Hatchback,2013,126000
Sedan,2005,80000
Sedan,2015,112000
Hatchback,2017,7500
Sedan,2014,135000
Hatchback,2017,5600
Hatchback,2014,80000
Sedan,2015,103000
Sedan,2012,74000
Sedan,2014,58000
Hatchback,2007,195000
Sedan,2004,100000
Sedan,2019,24000
Sedan,2010,105000
